dataset,variant,epochs,lambda_spatial,Q_ARI,Q_NMI,delta_ARI_vs_core,delta_NMI_vs_core
HLN-A1,core,50,0,0.2892,0.3536,0.0,0.0
HLN-A1,sc,50,0,0.2881,0.3529,-0.0011,-0.0007
HLN-A1,snf,50,0,0.2895,0.3538,0.0003,0.0002
HLN-A1,sc_snf,50,0,0.2881,0.3531,-0.0011,-0.0005
E18.5,core,50,0,0.4961,0.4717,0.0,0.0
E18.5,sc,50,0,0.4915,0.4694,-0.0046,-0.0023
E18.5,snf,50,0,0.4931,0.4721,-0.003,0.0004
E18.5,sc_snf,50,0,0.4994,0.4738,0.0033,0.0021
